nohup: ignoring input
-c = 3; cfg = CIFAR10; device = cuda:6
batch size: 128
Files already downloaded and verified
epoch 0 loss: 1.8067908421516419 elapsed 6.72s
epoch 1 loss: 0.20673524428606033 elapsed 12.50s
epoch 2 loss: 0.0645342600119114 elapsed 18.20s
epoch 3 loss: 0.03339753088235855 elapsed 23.92s
epoch 4 loss: 0.0305972234749794 elapsed 29.66s
epoch 5 loss: 0.02889141246497631 elapsed 35.36s
epoch 6 loss: 0.024839496737122536 elapsed 40.95s
epoch 7 loss: 0.022754521661400795 elapsed 46.60s
epoch 8 loss: 0.022691028683185576 elapsed 52.27s
epoch 9 loss: 0.02455759692311287 elapsed 58.03s
epoch 10 loss: 0.025590765051841737 elapsed 63.74s
epoch 11 loss: 0.026059920027852058 elapsed 69.35s
epoch 12 loss: 0.02658982148885727 elapsed 75.05s
epoch 13 loss: 0.026938702890872954 elapsed 80.69s
epoch 14 loss: 0.026863996664881706 elapsed 86.46s
epoch 15 loss: 0.026776013551950455 elapsed 92.24s
epoch 16 loss: 0.026979257419109344 elapsed 97.99s
epoch 17 loss: 0.02714713832318783 elapsed 103.75s
epoch 18 loss: 0.02706126095354557 elapsed 109.55s
epoch 19 loss: 0.026815068427920342 elapsed 115.32s
epoch 20 loss: 0.02661672375202179 elapsed 121.07s
epoch 21 loss: 0.02642359606087208 elapsed 126.81s
epoch 22 loss: 0.02631245068490505 elapsed 132.52s
epoch 23 loss: 0.02647783374905586 elapsed 138.22s
epoch 24 loss: 0.026720379083752632 elapsed 144.02s
epoch 25 loss: 0.027052234860658646 elapsed 149.89s
epoch 26 loss: 0.02729136545240879 elapsed 155.62s
epoch 27 loss: 0.027564460064172746 elapsed 161.43s
epoch 28 loss: 0.027784486058354377 elapsed 167.23s
epoch 29 loss: 0.027965165047645568 elapsed 173.02s
Done
Files already downloaded and verified
batch size: 128
Files already downloaded and verified
epoch 0 loss: 3.7722722412109375 elapsed 223.49s
epoch 1 loss: 3.5757890130615233 elapsed 452.66s
epoch 2 loss: 3.50864271774292 elapsed 681.73s
epoch 3 loss: 3.4570915825653077 elapsed 910.72s
epoch 4 loss: 3.403149116897583 elapsed 1139.71s
epoch 5 loss: 3.3408736555480956 elapsed 1368.73s
epoch 6 loss: 3.2555579985046386 elapsed 1597.85s
epoch 7 loss: 3.1430385620117187 elapsed 1826.65s
epoch 8 loss: 2.9997149705505373 elapsed 2053.31s
epoch 9 loss: 2.824607141342163 elapsed 2279.12s
epoch 10 loss: 2.6262659867858886 elapsed 2504.86s
epoch 11 loss: 2.4155063606262206 elapsed 2730.48s
epoch 12 loss: 2.201139652709961 elapsed 2956.22s
epoch 13 loss: 1.9895297238922118 elapsed 3181.96s
epoch 14 loss: 1.7944174661254884 elapsed 3407.66s
epoch 15 loss: 1.612954042892456 elapsed 3633.30s
epoch 16 loss: 1.4591440250396728 elapsed 3859.06s
epoch 17 loss: 1.322882698097229 elapsed 4084.76s
epoch 18 loss: 1.2110762921905518 elapsed 4310.38s
epoch 19 loss: 1.1072832583999634 elapsed 4536.06s
epoch 20 loss: 1.0284370700073242 elapsed 4761.65s
epoch 21 loss: 0.9558124361038208 elapsed 4987.18s
epoch 22 loss: 0.8978406718063354 elapsed 5212.76s
epoch 23 loss: 0.8443082958984375 elapsed 5438.40s
epoch 24 loss: 0.7998484561538697 elapsed 5663.99s
epoch 25 loss: 0.759166407032013 elapsed 5889.71s
epoch 26 loss: 0.7242345243453979 elapsed 6115.26s
epoch 27 loss: 0.6952291065979004 elapsed 6340.81s
epoch 28 loss: 0.6692515154647827 elapsed 6566.35s
epoch 29 loss: 0.6425153757095337 elapsed 6791.99s
epoch 30 loss: 0.6175486499404907 elapsed 7017.50s
epoch 31 loss: 0.5994271294975281 elapsed 7243.06s
epoch 32 loss: 0.5803203367996216 elapsed 7468.80s
epoch 33 loss: 0.5638423701095581 elapsed 7694.51s
epoch 34 loss: 0.5477514238357544 elapsed 7920.09s
epoch 35 loss: 0.5284755572319031 elapsed 8145.68s
epoch 36 loss: 0.5184519687271119 elapsed 8371.33s
epoch 37 loss: 0.503532894859314 elapsed 8597.06s
epoch 38 loss: 0.4927594775390625 elapsed 8822.64s
epoch 39 loss: 0.48009762042999266 elapsed 9048.29s
epoch 40 loss: 0.46623917369842527 elapsed 9273.96s
epoch 41 loss: 0.4610533054733276 elapsed 9499.65s
epoch 42 loss: 0.45130072580337527 elapsed 9725.45s
epoch 43 loss: 0.4415094583702087 elapsed 9951.20s
epoch 44 loss: 0.43306303136825564 elapsed 10176.90s
epoch 45 loss: 0.42744272782325743 elapsed 10402.74s
epoch 46 loss: 0.4192503733730316 elapsed 10628.39s
epoch 47 loss: 0.4141328575801849 elapsed 10854.22s
epoch 48 loss: 0.40700758642196655 elapsed 11079.99s
epoch 49 loss: 0.3992279475307465 elapsed 11305.57s
epoch 50 loss: 0.3929289353275299 elapsed 11531.40s
epoch 51 loss: 0.3895289092350006 elapsed 11757.21s
epoch 52 loss: 0.3834082851219177 elapsed 11983.01s
epoch 53 loss: 0.3782004394721985 elapsed 12208.76s
epoch 54 loss: 0.37539177817344666 elapsed 12434.45s
epoch 55 loss: 0.37219809957504274 elapsed 12660.14s
epoch 56 loss: 0.3657124115180969 elapsed 12885.79s
epoch 57 loss: 0.3629491014957428 elapsed 13111.57s
epoch 58 loss: 0.3573274556541443 elapsed 13337.27s
epoch 59 loss: 0.35409383363723756 elapsed 13563.24s
epoch 60 loss: 0.3511990485286713 elapsed 13788.98s
epoch 61 loss: 0.35145366704940795 elapsed 14014.73s
epoch 62 loss: 0.34642634088516233 elapsed 14240.48s
epoch 63 loss: 0.34007620779037473 elapsed 14466.30s
epoch 64 loss: 0.33703659075736997 elapsed 14692.07s
epoch 65 loss: 0.33480422492980955 elapsed 14917.91s
epoch 66 loss: 0.333078754196167 elapsed 15143.75s
epoch 67 loss: 0.3323983607292175 elapsed 15369.75s
epoch 68 loss: 0.3290837002372742 elapsed 15595.70s
epoch 69 loss: 0.32579356676101684 elapsed 15821.76s
epoch 70 loss: 0.32332515478134155 elapsed 16047.93s
epoch 71 loss: 0.32109036180496214 elapsed 16273.87s
epoch 72 loss: 0.32041442518234253 elapsed 16499.95s
epoch 73 loss: 0.3166066946697235 elapsed 16725.85s
epoch 74 loss: 0.31320260949134826 elapsed 16951.74s
epoch 75 loss: 0.3127597766304016 elapsed 17177.70s
epoch 76 loss: 0.3117027970504761 elapsed 17403.59s
epoch 77 loss: 0.3100324686908722 elapsed 17629.52s
epoch 78 loss: 0.3078032034778595 elapsed 17855.73s
epoch 79 loss: 0.3039060436439514 elapsed 18081.83s
epoch 80 loss: 0.30271806505203247 elapsed 18307.96s
epoch 81 loss: 0.303643477640152 elapsed 18533.83s
epoch 82 loss: 0.30017076105117796 elapsed 18759.45s
epoch 83 loss: 0.298362333278656 elapsed 18984.99s
epoch 84 loss: 0.29979791887283325 elapsed 19210.52s
epoch 85 loss: 0.29470277364730835 elapsed 19436.06s
epoch 86 loss: 0.2936062239551544 elapsed 19661.62s
epoch 87 loss: 0.2954167844104767 elapsed 19887.21s
epoch 88 loss: 0.2916301723003387 elapsed 20112.81s
epoch 89 loss: 0.28875247115135194 elapsed 20338.46s
epoch 90 loss: 0.2865275719451904 elapsed 20564.02s
epoch 91 loss: 0.2886086197948456 elapsed 20789.71s
epoch 92 loss: 0.28920059029579165 elapsed 21015.46s
epoch 93 loss: 0.2871578605461121 elapsed 21241.25s
epoch 94 loss: 0.28277016210556033 elapsed 21466.81s
epoch 95 loss: 0.2826434453201294 elapsed 21692.39s
epoch 96 loss: 0.2817247066307068 elapsed 21918.02s
epoch 97 loss: 0.2808265102672577 elapsed 22143.63s
epoch 98 loss: 0.2799995693874359 elapsed 22369.22s
epoch 99 loss: 0.2784283105754852 elapsed 22594.82s
Done
